target,name,k,n_common,kth_dist,n_all,rmse_all_model,rmse_all_persistence,mae_all_model,mae_all_persistence,n_normal,rmse_normal_model,rmse_normal_persistence,mae_normal_model,mae_normal_persistence,n_ext,rmse_ext_model,rmse_ext_persistence,mae_ext_model,mae_ext_persistence,n_onset,rmse_onset_model,rmse_onset_persistence,mae_onset_model,mae_onset_persistence,n_extrel,rmse_extrel_model,rmse_extrel_persistence,mae_extrel_model,mae_extrel_persistence
station_18,CITIES@Al Danah,5,119,18.04383783071148,119,9.605271060386718,10.23856509116636,7.7367561905809765,7.883529411764707,119,9.605271060386718,10.23856509116636,7.7367561905809765,7.883529411764707,0,,,,,0,,,,,12,9.539493520230781,12.328402843299154,8.07311764523673,10.258333333333333
station_18,CITIES@Al Danah,8,119,31.939781292622307,119,9.316142163730403,10.23856509116636,7.611793992455387,7.883529411764707,119,9.316142163730403,10.23856509116636,7.611793992455387,7.883529411764707,0,,,,,0,,,,,12,10.328945915182173,12.328402843299154,8.795362125374314,10.258333333333333
station_19,CITIES@Shakhbout[31],0,140,0.0,140,9.076095592416264,9.060644765767423,7.059437557449444,6.823357142857143,140,9.076095592416264,9.060644765767423,7.059437557449444,6.823357142857143,0,,,,,0,,,,,14,11.625522457361981,11.111485049263218,9.380472273120159,9.392857142857142
station_19,CITIES@Shakhbout[31],1,140,7.878794938683016,140,9.17156120493709,9.060644765767423,7.084547608117565,6.823357142857143,140,9.17156120493709,9.060644765767423,7.084547608117565,6.823357142857143,0,,,,,0,,,,,14,11.62855020746493,11.111485049263218,9.52407642152724,9.392857142857142
station_19,CITIES@Shakhbout[31],2,140,8.398546671319576,140,9.247788119493322,9.060644765767423,7.121184043263745,6.823357142857143,140,9.247788119493322,9.060644765767423,7.121184043263745,6.823357142857143,0,,,,,0,,,,,14,11.984816558766292,11.111485049263218,9.815845845739096,9.392857142857142
station_19,CITIES@Shakhbout[31],3,140,13.33176270617184,140,10.270456491536242,9.060644765767423,7.987320371986133,6.823357142857143,140,10.270456491536242,9.060644765767423,7.987320371986133,6.823357142857143,0,,,,,0,,,,,14,11.61858940951859,11.111485049263218,9.486636647640585,9.392857142857142
station_19,CITIES@Shakhbout[31],5,140,16.100425236238085,140,10.319197935454918,9.060644765767423,8.09862375322996,6.823357142857143,140,10.319197935454918,9.060644765767423,8.09862375322996,6.823357142857143,0,,,,,0,,,,,14,11.60050097248123,11.111485049263218,9.311328369177247,9.392857142857142
station_19,CITIES@Shakhbout[31],8,140,30.62518504509212,140,10.611688647987156,9.060644765767423,8.267032627190837,6.823357142857143,140,10.611688647987156,9.060644765767423,8.267032627190837,6.823357142857143,0,,,,,0,,,,,14,11.45882371513254,11.111485049263218,9.154546603048757,9.392857142857142
station_20,Abu dhabi al muzoon,0,66,0.0,66,9.483258629448969,8.948574501341573,7.935953787097527,6.962878787878788,66,9.483258629448969,8.948574501341573,7.935953787097527,6.962878787878788,0,,,,,0,,,,,7,6.980391057378856,8.848510770584104,5.594996622003275,7.474285714285715
station_20,Abu dhabi al muzoon,1,66,1.5835602425288966,66,9.403682799590857,8.948574501341573,7.878044637030365,6.962878787878788,66,9.403682799590857,8.948574501341573,7.878044637030365,6.962878787878788,0,,,,,0,,,,,7,7.011158794025639,8.848510770584104,5.80835081125791,7.474285714285715
station_20,Abu dhabi al muzoon,2,66,2.7289047928974517,66,9.365513040233234,8.948574501341573,7.811945492269327,6.962878787878788,66,9.365513040233234,8.948574501341573,7.811945492269327,6.962878787878788,0,,,,,0,,,,,7,7.088940744936809,8.848510770584104,5.786455704714373,7.474285714285715
station_20,Abu dhabi al muzoon,3,66,9.12872767278331,66,9.522748260503457,8.948574501341573,7.885927244284654,6.962878787878788,66,9.522748260503457,8.948574501341573,7.885927244284654,6.962878787878788,0,,,,,0,,,,,7,7.2894419172603335,8.848510770584104,6.077091522567371,7.474285714285715
station_20,Abu dhabi al muzoon,5,66,10.564620912879537,66,9.596386510276067,8.948574501341573,7.957994731044954,6.962878787878788,66,9.596386510276067,8.948574501341573,7.957994731044954,6.962878787878788,0,,,,,0,,,,,7,7.109227857255187,8.848510770584104,5.886901765029805,7.474285714285715
station_20,Abu dhabi al muzoon,8,66,21.58018910871781,66,9.148177924190769,8.948574501341573,7.473011359724412,6.962878787878788,66,9.148177924190769,8.948574501341573,7.473011359724412,6.962878787878788,0,,,,,0,,,,,7,7.09829490391329,8.848510770584104,5.906008242792332,7.474285714285715
station_27,Sheleila,0,111,0.0,111,10.54493974559405,10.648604484977243,8.693713857415043,8.2509009009009,110,10.144323571600772,10.536926151742392,8.48199117675694,8.150181818181817,1,,,,,1,,,,,12,15.19491685533514,14.132793720044644,12.632538776750145,11.290833333333333
station_27,Sheleila,1,111,26.823065531176837,111,10.671577113334568,10.648604484977243,8.833327243653228,8.2509009009009,110,10.287591895922493,10.536926151742392,8.62627065524494,8.150181818181817,1,,,,,1,,,,,12,15.11854688755595,14.132793720044644,12.663260940734075,11.290833333333333
station_27,Sheleila,2,111,30.80509600267242,111,10.650991193454587,10.648604484977243,8.800114781367025,8.2509009009009,110,10.268679911080888,10.536926151742392,8.593614486376039,8.150181818181817,1,,,,,1,,,,,12,15.121010788501847,14.132793720044644,12.60217843556336,11.290833333333333
station_27,Sheleila,3,111,33.487072396074154,111,10.32636658493129,10.648604484977243,8.542332905078444,8.2509009009009,110,9.943249104448283,10.536926151742392,8.338193601339619,8.150181818181817,1,,,,,1,,,,,12,15.008087249371833,14.132793720044644,12.502304428424338,11.290833333333333
station_27,Sheleila,5,111,34.1984759062379,111,10.382421767945184,10.648604484977243,8.56456136825803,8.2509009009009,110,10.01563247232433,10.536926151742392,8.365067622547555,8.150181818181817,1,,,,,1,,,,,12,14.72410937262831,14.132793720044644,12.205215387756118,11.290833333333333
station_27,Sheleila,8,111,37.05031385035536,111,10.507928261171388,10.648604484977243,8.71084619204672,8.2509009009009,110,10.18634839863157,10.536926151742392,8.526171937768801,8.150181818181817,1,,,,,1,,,,,12,14.566883938252861,14.132793720044644,12.207903650221008,11.290833333333333
