target,name,hidden,dropout,config,seed,K,n_test,persistence,ridge,lstm
station_27,Sheleila,128,0.3,h128_d0.3,42,90,231,12.373207019526182,11.577064739405591,12.343448421496497
station_12,CITIES@Saadiyat,32,0.1,h32_d0.1,43,30,565,12.028233342645658,11.553971487615222,11.706791408658503
station_12,CITIES@Saadiyat,32,0.1,h32_d0.1,43,90,505,12.19209339638352,11.604956795792445,11.7038292720582
station_13,CITIES@Lycee Francais Theodore Monod International School,32,0.1,h32_d0.1,43,30,594,12.133064224454904,11.477989246262172,11.696443157012096
station_13,CITIES@Lycee Francais Theodore Monod International School,32,0.1,h32_d0.1,43,90,534,12.28736598793038,11.600764803222686,11.81081215060781
station_14,CITIES@West Yas Island,32,0.1,h32_d0.1,43,30,387,12.513374622556636,11.816025734865612,12.371517323564884
station_14,CITIES@West Yas Island,32,0.1,h32_d0.1,43,90,327,12.535055797770148,11.652379981007515,12.093963556252248
station_15,CITIES@Khalifa City 1,32,0.1,h32_d0.1,43,30,367,20.42504864771637,18.079328019477362,17.81219355486783
station_15,CITIES@Khalifa City 1,32,0.1,h32_d0.1,43,90,307,21.486237827058325,18.891308009311622,18.48228279764996
station_16,CITIES@Khalifa City 2,32,0.1,h32_d0.1,43,30,329,18.518673226090232,16.947053552743526,17.06080237596809
station_16,CITIES@Khalifa City 2,32,0.1,h32_d0.1,43,90,269,19.31623873352183,17.52611268179311,17.42354338485747
