condition,target,name,K,n_test,extrel_threshold,n_all,rmse_all_model,rmse_all_persistence,mae_all_model,mae_all_persistence,n_normal,rmse_normal_model,rmse_normal_persistence,mae_normal_model,mae_normal_persistence,n_ext,rmse_ext_model,rmse_ext_persistence,mae_ext_model,mae_ext_persistence,n_onset,rmse_onset_model,rmse_onset_persistence,mae_onset_model,mae_onset_persistence,n_extrel,rmse_extrel_model,rmse_extrel_persistence,mae_extrel_model,mae_extrel_persistence
no_interp,station_16,CITIES@Khalifa City 2,90,269,73.376,269,17.534330349248357,19.31623873352183,12.437331322601775,13.420817843866171,249,13.719514423638962,16.641617437127163,10.547552898316736,11.73875502008032,20,42.33009765237314,39.62926942299088,35.965072704950515,34.3625,14,38.52558439972444,38.1203749419426,36.512432350410414,34.895714285714284,21,41.33898835471595,38.81956079092086,34.59053797790301,33.458571428571425
no_interp,station_17,CITIES@Sas Al Nakhl,30,350,49.33,350,10.2260630480752,10.65030658177098,8.101785659252906,7.908628571428571,346,9.634022135440414,10.34286204953554,7.812228757850743,7.765549132947977,4,,,,,3,,,,,36,17.694746198076068,15.0418915033981,14.925468549661645,11.894444444444442
no_interp,station_17,CITIES@Sas Al Nakhl,90,290,49.33,290,9.919006174170566,10.340353608973954,7.848037439913966,7.652103448275862,287,9.351388454788735,10.026377215609156,7.581092244739723,7.529651567944252,3,,,,,2,,,,,23,19.05045870782732,16.255270717123,16.362919463521287,12.820869565217386
no_interp,station_18,CITIES@Al Danah,30,310,50.79,310,11.364499876562073,12.29631412122112,8.720767676649121,9.15241935483871,304,10.521194417280878,11.830075980202679,8.303430936111523,8.923848684210526,6,32.623187280486114,26.853874953160858,29.865829197220815,20.733333333333334,3,,,,,29,19.068512641355937,17.14818870499357,14.88113015642871,13.256206896551722
no_interp,station_18,CITIES@Al Danah,90,271,50.79,271,11.48386141600675,12.448336111935584,8.71315077200619,9.23678966789668,265,10.524651152547856,11.922337826336033,8.234222203888121,8.976490566037738,6,32.623187280486114,26.853874953160858,29.865829197220815,20.733333333333334,3,,,,,28,19.40589918583275,17.327466738430882,15.398896419106633,13.336785714285712
no_interp,station_19,CITIES@Shakhbout[31],30,327,49.96,327,9.589322641868868,9.844875007554595,7.409153299561583,7.397920489296636,325,9.359950928795628,9.83825935198514,7.284093270098159,7.3864,2,,,,,1,,,,,28,18.146720661651457,16.327763275214046,15.952273546472805,13.6725
no_interp,station_19,CITIES@Shakhbout[31],90,267,49.96,267,9.433277976444256,9.770016963172282,7.256088611834466,7.292883895131086,265,9.14515207371275,9.761272960598978,7.10155789881157,7.277962264150943,2,,,,,1,,,,,21,19.382855585084314,17.77432257097701,17.62063448416083,15.435238095238091
no_interp,station_20,Abu dhabi al muzoon,30,227,46.06,227,10.933011426177194,11.529256789339781,8.4316404208825,8.434273127753304,223,9.824813479246448,10.718865414993946,7.937596958151096,8.15,4,,,,,2,,,,,23,20.32666176679261,20.36032533694113,16.29355085353981,15.107391304347827
no_interp,station_20,Abu dhabi al muzoon,90,183,46.06,183,11.295868106004313,11.955186793054745,8.56053685497288,8.57535519125683,179,9.95582948106564,10.985829572528788,7.947932908309522,8.224357541899442,4,,,,,2,,,,,23,20.32666176679261,20.36032533694113,16.29355085353981,15.107391304347827
no_interp,station_21,CITIES@Bateen-BWA,30,215,54.87,215,14.689585393578136,16.434843133939836,10.634884168629105,11.354790697674417,206,12.28440381133778,14.693266306620918,9.440719656253561,10.442912621359222,9,41.24020116689148,38.8710223402701,37.96798300744711,32.22666666666666,6,47.634580317892784,47.32635928669492,46.54760853148167,44.79833333333334,23,30.50822149795733,29.023202636930815,26.25388126049888,23.921304347826084
no_interp,station_21,CITIES@Bateen-BWA,90,155,54.87,155,15.916302554879051,17.82374798570897,11.335364744898124,12.268774193548387,146,12.810301600849067,15.62460331551247,9.693628002686202,11.03849315068493,9,41.24020116689148,38.8710223402701,37.96798300744711,32.22666666666666,6,47.634580317892784,47.32635928669492,46.54760853148167,44.79833333333334,22,30.86689791491134,29.431010083676274,26.486816249354874,24.19818181818182
no_interp,station_22,Mamsha Azure 3,30,141,59.224000000000004,141,12.384015396428415,13.749459924918883,8.830893796216005,9.837872340425532,135,10.619858683150776,12.890902304424706,7.91192402562741,9.323925925925925,6,32.65683255214513,26.52685588857702,29.50771363445935,21.40166666666667,3,,,,,13,27.010683004669975,25.38752585879076,23.970392739211754,21.5423076923077
no_interp,station_22,Mamsha Azure 3,90,81,59.224000000000004,81,11.11919983830041,12.194108322373465,7.946261270896063,8.453950617283951,78,9.759648812554971,12.037652680289543,7.131529265712197,8.276923076923078,3,,,,,1,,,,,4,,,,
no_interp,station_27,Sheleila,30,272,61.995000000000005,272,12.093612541270813,12.593058224322496,9.514093409740019,9.437867647058825,263,10.804133857018071,12.05180654776033,8.793171885204845,9.07596958174905,9,31.76594644140574,23.41756842866294,30.58102240449005,20.013333333333335,6,33.27667535106633,27.6022991192159,32.5191613516622,25.348333333333333,19,24.953967475462743,18.749657400378787,22.69953843621146,15.449473684210528
no_interp,station_27,Sheleila,90,212,61.995000000000005,212,11.808187803586836,12.406294887281565,9.27610713127284,9.11122641509434,205,10.426012605342484,11.764040930921238,8.54259977635254,8.722780487804878,7,32.24017672724257,24.66845672397966,30.75739395393875,20.487142857142853,4,,,,,11,27.537439040615023,21.009143896711436,25.292954416864085,17.16181818181818
